naics_4,aiie_21,aiie_23,emp,wagebill,expwb_21,expwb_23
4441,0.1045359,0.3544964,1240440.0,46324840900.0,-0.007248976473176613,0.13322989016546175
4442,-0.4641636,-0.2473165,180550.0,6510097100.0,-0.26561663493131765,-0.14211132233536578
4450,-0.4066956,-0.187831,2950090.0,96744007300.0,-0.16702092181751632,-0.07250575009952384
4453,-0.0185797,0.2288,163020.0,5320442800.0,-0.005732923922433663,0.13986986477728133
4461,0.3257251,0.4043418,1000580.0,47244001500.0,0.2702453477752688,0.30682023439055034
4471,-0.3108229,-0.1060679,919990.0,26109185400.0,-0.19124698611399954,-0.06169478414275805
4481,0.2268381,0.5698005,753800.0,24070608500.0,0.09518435195253665,0.29099262272641635
4482,0.2810808,0.6448641,162430.0,5001990000.0,0.15365303075778042,0.3642726273354665
4483,0.3828857,0.5883098,104900.0,4567162200.0,0.2086877126602773,0.2919686732392119
4511,0.2090943,0.513244,455690.0,15249909400.0,0.08942778044617761,0.2627400250296851
4512,0.2499871,0.5822943,53140.0,1704864900.0,0.13189345758330176,0.3094216077576939
4520,-0.007219,0.270093,2817100.0,93574621300.0,0.04268581031628136,0.1614277964292877
4530,0.1663383,0.4578613,360870.0,11584516800.0,0.07586117498008896,0.22993724911415037
4531,-0.3690017,-0.2594246,54030.0,1709158600.0,-0.206699273048727,-0.14003240920716775
4539,0.00781,0.2850367,368400.0,13501572700.0,0.01954658987323974,0.16878585406584298
4541,0.6046838,0.6620128,451590.0,26906717000.0,0.4552056093521926,0.46566086430553755
4542,-0.6646855,-0.6922235,28830.0,1147235100.0,-0.29414144751203997,-0.29616217393419186
4543,-0.0433316,-0.0607612,127070.0,6509213900.0,-0.0004990716195299741,-0.00042918996313825195
4811,-0.4555449,-0.3840335,388940.0,33320107800.0,-0.31004680246275973,-0.45810223946848927
4812,0.1134526,-0.2209606,47080.0,4362604400.0,0.033909009517188865,-0.22679649551052344
4821,-0.5922358,-0.8212433,213000.0,15444047400.0,-0.3410701135135075,-0.47465919483363733
4831,-0.3280049,-0.5228274,28980.0,2450466600.0,0.18122176615267066,0.10446930272643584
4832,-0.8718479,-1.203537,23720.0,2001978100.0,-0.4030666407265444,-0.6254070800845023
4840,-1.282191,-1.539235,1481130.0,76910026500.0,-0.7064018215233884,-0.8504425954610675
4851,-0.1201694,-0.1658452,37280.0,1782248800.0,-0.013327979761164656,-0.027071717119517766
4852,-0.0462207,0.0313755,11970.0,538680900.0,-0.03493724623850594,-0.024567301870105297
4853,1.369857,1.266258,41200.0,1553248700.0,0.2922158029655393,0.2820336330515519
4854,0.076602,0.0559563,176790.0,7455939700.0,0.006983965701727711,0.006573127861102472
4855,0.0093568,-0.0039399,14300.0,627480900.0,0.05046394233332041,0.045677375250720784
4859,0.9623069,0.899507,81300.0,3049002000.0,0.1694876653638666,0.16558899794651824
4861,-0.1340503,-0.3534026,9350.0,843664000.0,0.05613297429864254,-0.1270399762654682
4862,-0.0901119,-0.357459,27770.0,2413705700.0,0.025839740710663275,-0.10415331559550114
4869,-0.0393555,-0.3630448,6440.0,543246500.0,-0.18840131526702886,-0.35574424832375356
4871,0.4042215,0.5075915,6090.0,245899000.0,0.12602585502535593,0.14477848977502958
4872,-0.6679308,-0.6566207,10300.0,472220800.0,-0.2778186000448095,-0.3891099357205993
4879,0.1866125,-0.0580567,1170.0,71546700.0,0.008745663074187907,-0.1580715460562122
4881,-0.3353398,-0.361676,190680.0,10628417500.0,-0.07028209357024125,-0.14894815696697272
4882,-1.474989,-1.530069,30220.0,1530163000.0,-0.5797091918125912,-0.6081264291168784
4883,-1.411064,-1.449808,83830.0,6150884300.0,-0.46830021002795974,-0.544336123736143
4884,-0.9504591,-1.170591,103500.0,4640480800.0,-0.4736854871712108,-0.5980305743200596
4885,1.024609,0.8797804,212660.0,12294566200.0,0.6556392946303092,0.6087322000596809
4889,-1.105623,-0.9422619,31440.0,1424051800.0,-0.2791847894940268,-0.23736011998289674
4911,-1.314742,-1.121128,629240.0,35419795600.0,-0.7657500193502038,-0.6573147343562901
4921,-1.150431,-1.299443,917660.0,45234069900.0,-0.9388986467715893,-0.9510472732454334
4922,-1.182829,-1.270109,161310.0,6484399100.0,-0.7651103247273491,-0.805024424180293
4931,-1.59126,-1.526172,1653810.0,72446100500.0,-0.5985082224250527,-0.5983159627623781
5111,1.337831,1.266109,242180.0,15809398200.0,0.7465525835947607,0.7405904259804336
5112,1.966309,1.8772,519900.0,60406042900.0,0.5027269238150861,0.4919792236284857
5121,0.4026041,0.413089,275000.0,23586534900.0,0.7063274716147733,0.6397962081744054
5122,1.43428,1.312842,15070.0,1124019000.0,0.8042458183687108,0.7678271832552119
5151,1.429625,1.330504,187040.0,12955736200.0,0.7435737434910491,0.7244028827005254
5152,1.098212,1.007248,45170.0,3959547800.0,0.5530902358414211,0.5170888461003855
5170,0.2466103,0.1724486,658050.0,50239357500.0,0.18757071032845754,0.16071037864390383
5182,1.74286,1.654264,368620.0,36438332200.0,0.5179860590840917,0.5045180566010821
5191,1.749664,1.719596,356350.0,42142341500.0,0.5790314242604588,0.5643525180979263
5211,1.770347,1.643377,18750.0,2187740200.0,0.7606302035344644,0.7270601329788382
5220,1.888684,1.801161,1996340.0,141286152300.0,0.9918736437274536,0.9772391921820601
5222,2.113345,2.051283,617540.0,45875095100.0,1.0456687970463334,1.0405273353761963
5230,2.218665,2.10484,951990.0,113552987300.0,1.1366152354296042,1.1109135213448438
5241,2.058794,1.976356,1190710.0,98359788800.0,0.9444172807889425,0.9282858418301475
5242,2.120996,2.087049,1206020.0,85953310600.0,1.0741831178288725,1.0868016312715758
5251,2.180309,2.052607,7130.0,549684900.0,1.1394643736849057,1.1107123910286238
5259,2.07022,1.962175,11090.0,1062053500.0,1.0785963903111002,1.0409574736463088
5310,0.5238351,0.4941004,1645940.0,92216086300.0,0.4575310688272537,0.4473230150724833
5320,-0.2705971,-0.2708665,286240.0,14724131300.0,-0.046887000266102576,-0.04678688491311468
5321,-0.1278947,-0.0950282,175050.0,7233390900.0,-0.09960534274073311,-0.0771887338598333
5331,1.911472,1.870846,17620.0,1543401700.0,0.8886451754281728,0.8890384047264689
5411,2.156741,2.19893,1135520.0,104881212500.0,1.2080820245043193,1.2955987685791066
5412,2.215628,1.907619,980580.0,75476578200.0,1.1810046870551085,1.0520664300452724
5413,1.492814,1.066006,1502230.0,131632048300.0,0.7407133465378383,0.5627709528799645
5414,1.280983,0.9959185,130260.0,9391554100.0,0.6901300155356843,0.57571206946136
5415,1.860226,1.750889,2247180.0,235923930800.0,0.4266517828362966,0.4113411708925433
5416,1.8047,1.722495,1515430.0,138821626200.0,0.8362966182976465,0.8303425037820956
5417,1.635407,1.405602,790490.0,92676898000.0,0.7680953580196778,0.6940988135697153
5418,1.305607,1.281933,427430.0,34601485800.0,0.8136936886317254,0.8011622116293414
5419,0.6022445,0.6538497,739050.0,42956669100.0,0.3457157728119041,0.3677366485923537
5511,1.69871,1.592071,2520300.0,235383701300.0,0.8100342300138501,0.7798380767604978
5611,1.753769,1.673938,456230.0,34063367000.0,0.8039263428897775,0.7954444821932858
5612,-1.008228,-0.7835189,158240.0,7598959300.0,-0.37730249891814,-0.3042754284894051
5613,-0.7234654,-0.5981276,3379150.0,155663818100.0,-0.034747740788728915,0.004889122411670666
5614,1.704965,1.88074,807630.0,34383989700.0,0.8166297928127059,0.9114260887152554
5615,1.68347,1.778761,129040.0,7515551400.0,0.7737867246664151,0.8248646810900289
5616,-0.3442498,-0.4163583,906460.0,35702074800.0,-0.16851316348998266,-0.1913242008680389
5617,-1.998597,-1.612025,2118070.0,78781683000.0,-1.0010764138829993,-0.8234276326653807
5619,-0.4762704,-0.4006903,266940.0,12477112300.0,-0.06519130006115437,-0.04046986275954251
5621,-1.332496,-1.430758,189730.0,9076141000.0,-0.6627287150602243,-0.714769009284415
5622,-0.7965308,-0.9307135,95540.0,5535544500.0,-0.3544808340251569,-0.4193060076733608
5629,-0.7835333,-0.8477126,154450.0,8448484400.0,-0.27907952957637466,-0.309586151673544
6111,1.315956,1.44894,8085490.0,459658751000.0,0.6459165088794673,0.732007431294829
6112,1.530079,1.759217,575400.0,38970322100.0,0.8305427804925367,0.9971270090293283
6113,1.456562,1.625725,2818770.0,207101860700.0,0.7970767521527884,0.9249615073037415
6114,1.741192,1.816898,67350.0,5116190100.0,0.8244074201938255,0.8800694977365091
6115,0.947026,1.095225,127210.0,7849254100.0,0.49187497661917456,0.593178315599202
6116,0.6729133,1.037076,391220.0,18149196500.0,0.3646412932576156,0.5510042826828052
6117,1.605398,1.702967,185710.0,12308319200.0,0.6773724628401098,0.7364242383025393
6211,1.009907,1.040829,2646770.0,233397927100.0,0.2463362705805631,0.2682870315005103
6212,0.4154884,0.4777574,962850.0,64778683800.0,0.07862795432844702,0.0738342816482585
6213,0.7008373,0.8734526,968650.0,58651629800.0,0.26886378630642277,0.37801908266299394
6214,0.9686477,1.029444,977940.0,71194162900.0,0.3355622323079679,0.3771179787392539
6215,0.6741955,0.6569087,291970.0,19275321400.0,0.234018691520628,0.24481362250133115
6216,0.6927072,0.8117862,1509990.0,66299752000.0,0.1940582815776308,0.2512602413031299
6219,0.7869348,0.7634743,306270.0,15386080500.0,0.2904756403791401,0.29506753069370073
6221,0.5274962,0.598083,5579370.0,403244430100.0,0.23327921692605882,0.2766032851222111
6222,0.5211326,0.6696325,232480.0,14011773100.0,0.25126539921631047,0.31871270920128303
6223,0.5900623,0.6808028,265020.0,20229412600.0,0.2976341054680436,0.36354705791019853
6231,-0.2430007,0.0127003,1402080.0,60964701800.0,-0.02000300198279523,0.07907651797564012
6232,0.8572415,1.030857,608370.0,23378597800.0,0.26578114117543655,0.3174122392896596
6233,-0.4843864,-0.196189,885880.0,32639423400.0,-0.06798803627112236,0.02212958817433521
6239,0.7190148,0.9229316,148650.0,5797259200.0,0.33996997903652126,0.41777383472869556
6241,1.163092,1.303176,2635060.0,95692387000.0,0.27989401530912045,0.319408474634084
6242,0.8514432,0.9630393,188040.0,8608520100.0,0.49736126587102353,0.5625980927261145
6243,0.2863293,0.522513,261580.0,9964777500.0,0.29537271932340287,0.3958108627318944
6244,0.0572718,0.4045842,798410.0,25742436500.0,0.08530195902987502,0.26577771741471207
7111,0.1677087,0.4520053,53460.0,2979207900.0,0.5471151984031695,0.6139731513819865
7112,-0.2576417,-0.0540171,110510.0,6919045600.0,-0.14479375575073383,0.010371395805999575
7113,-0.1931654,-0.0417869,74300.0,4039611100.0,0.33412245154965786,0.3687606219223058
7114,1.910984,2.017241,21060.0,2068615500.0,0.989423471255185,1.1029618439665854
7115,0.6088023,0.6763131,21560.0,1233343900.0,0.3915572034242761,0.3880097917797866
7121,0.380777,0.519238,128630.0,6155397300.0,0.31653141180387656,0.37230803513484495
7131,-0.533819,-0.2294791,144890.0,4539098100.0,-0.19641727501159756,-0.05882271216677384
7132,-0.1355364,-0.0685389,179480.0,6689943000.0,0.0011191328306354846,0.03791267272045517
7139,-1.085068,-0.5725563,1103630.0,41428277800.0,-0.5452678304153384,-0.28424455616092564
7211,-0.902616,-0.5285271,1370660.0,50227136700.0,-0.2968582024935606,-0.1402433867957994
7212,-0.404939,-0.2026199,54070.0,1987353600.0,-0.12484689909836374,-0.035962074805459904
7213,-1.051392,-0.6265475,8330.0,299001400.0,-0.30217392749936955,-0.13679599606567058
7223,-1.060899,-0.729668,469770.0,16997276100.0,-0.368134136638087,-0.24257412696692032
7224,-0.99913,-0.651397,302760.0,9405899800.0,-0.5488334340571862,-0.3661180948654599
7225,-1.171986,-0.772517,9418030.0,279365144700.0,-0.4806582326837485,-0.31889600258173434
8111,-1.094294,-1.114094,911940.0,40090145500.0,-0.49354315292938705,-0.5089816243709455
8112,0.1066877,-0.0773292,99680.0,5628977500.0,0.12283862905512413,0.05499630921584426
8113,-0.7797639,-0.879418,203150.0,11709691000.0,-0.33461111963524487,-0.3791391503010045
8114,-0.7464604,-0.8000787,73900.0,3178258400.0,-0.40749695121388496,-0.4245503331378311
8121,-0.4751154,-0.3100892,644660.0,23351136100.0,-0.281613319728301,-0.1767354127000257
8122,-0.3155441,-0.0593705,130180.0,5919965700.0,-0.14193384983914178,-0.0357288424061038
8123,-1.148211,-0.9959455,229160.0,8008192400.0,-0.5253329704783679,-0.4523042907874591
8129,-0.7702041,-0.5891773,286930.0,10430893800.0,-0.2307311808841539,-0.1065612343525212
8131,0.9662193,1.155523,164990.0,8141293400.0,0.6727653742723583,0.7726319567072941
8132,1.721215,1.779492,134250.0,10856922900.0,0.831845878298456,0.8609111700022397
8133,1.194087,1.302326,216530.0,13195823900.0,0.6828322333531263,0.7349477440611049
8134,-0.3505448,0.0471964,255950.0,10089422000.0,0.10208016846829877,0.26020378352012136
8139,1.360341,1.402145,402330.0,29572662500.0,0.8012293825426169,0.834344616603864
9991,1.076782,0.9446542,2105630.0,193912690600.0,0.6269347581807813,0.5760740391078144
9992,0.7475519,0.7959982,2186770.0,137237006200.0,0.46142281396989304,0.4915012022204207
9993,-0.0143179,0.0238635,5367330.0,323699850500.0,0.027329581236133473,0.04264647213079291
