ff49,ff49_abbrev,ff49_name,portfolio_va,n_naics,aiie_21_ew,aiie_21_ew_z,aiie_21_vw,aiie_21_vw_z,aiie_23_ew,aiie_23_ew_z,aiie_23_vw,aiie_23_vw_z,expwb_21_ew,expwb_21_ew_z,expwb_21_vw,expwb_21_vw_z,expwb_23_ew,expwb_23_ew_z,expwb_23_vw,expwb_23_vw_z
11,Hlth,Healthcare,8127600000000.0,13,0.5397894923076924,0.561130368105,0.6646930389635317,0.6408722744615013,0.649964523076923,0.7611193744735952,0.7429609968699247,0.797616899493431,0.2006085908871332,0.28086616748882837,0.2300994257340922,0.3181270726316403,0.25122162820942356,0.4614058216268961,0.2723481606897774,0.46973346039113734
12,MedEq,Medical Equipment,98100000000.0,1,0.2301883,0.23615806296382558,0.2301883,0.20196504248717295,0.013895,0.08311326095592832,0.013895,0.05286008274662976,0.3295957833090721,0.5873184690441674,0.3295957833090721,0.5470077127860676,0.24720995414581645,0.4518039157593639,0.24720995414581645,0.41164025931176873
13,Drugs,Pharmaceutical Products,464500000000.0,1,0.4637086,0.4812722035865104,0.4637086,0.43785141907147324,0.309366,0.3980649086910636,0.309366,0.3546901534751302,0.35922353890522063,0.6577091312632367,0.35922353890522063,0.6151631692516485,0.29281850852065233,0.5609675813308468,0.29281850852065233,0.5170394617410753
15,Rubbr,Rubber and Plastic Products,166000000000.0,2,-0.9717340999999999,-1.025437507833038,-0.9717341,-1.0121354869807409,-1.0161755000000001,-1.0148706401997003,-1.0161755,-0.9993793988618592,-0.3065748736170024,-0.9241181188554566,-0.30657487361700236,-0.9164342739718273,-0.33057723538236194,-0.9311245368894502,-0.33057723538236194,-0.9235984866841088
16,Txtls,Textiles,3946200000000.0,5,-0.99431744,-1.0491420678926555,-0.5698117367594141,-0.6061407621837069,-1.0593077999999998,-1.0608466884602947,-0.7927213401348132,-0.771116101019814,-0.39995782395717505,-1.145980611715689,-0.19347361126001342,-0.6562570176231874,-0.4262214153250051,-1.1600480232010024,-0.2668536628696231,-0.7763363379303985
17,BldMt,Construction Materials,373000000000.0,5,-1.13433922,-1.1961156640774782,-1.00103442769437,-1.0417326917314949,-1.27522724,-1.2910018759610908,-1.130516491849866,-1.1161812158158477,-0.4678845630735931,-1.3073633439739563,-0.38117949154890396,-1.0880541515925939,-0.5371400163301658,-1.4255306992418102,-0.4408572836412337,-1.1784504391231814
18,Cnstr,Construction,9108900000000.0,9,-1.1723347999999998,-1.2359976526633116,-1.1723348,-1.2147687152836943,-1.1745567333333333,-1.1836940794159219,-1.1745567333333333,-1.1611692830097693,-0.514139898844471,-1.4172583951029982,-0.5141398988444711,-1.3939152291106265,-0.5377519036682028,-1.4269952460938748,-0.5377519036682027,-1.4023693028214348
19,Steel,Steel Works Etc,517300000000.0,6,-0.9208258333333333,-0.9720017421433294,-0.8998792887106128,-0.9395526276952645,-1.0203162833333332,-1.0192844288075416,-0.9891348457568142,-0.9717567807952278,-0.2779149255107921,-0.8560268076586491,-0.2697303109436892,-0.8316773311408019,-0.3264366332315429,-0.9212140428022716,-0.31264611019392063,-0.8821605082296872
21,Mach,Machinery,2616100000000.0,4,-0.136924975,-0.14918169085117194,-0.5352847596078132,-0.5712639504688365,-0.30176464999999997,-0.25335809119367725,-0.6737498461908948,-0.6495841251854063,0.16955376565103533,0.20708502310303625,0.08763288651000302,-0.009601836174114553,0.1003621543445269,0.1003250248550579,0.024720648501627394,-0.10252195620642815
22,ElcEq,Electrical Equipment,183600000000.0,3,0.29175426666666665,0.3007806632735411,0.29175426666666665,0.2641548084214827,0.1569219666666667,0.23557011398795155,0.15692196666666666,0.19896524861767256,0.3494873063136556,0.6345774479531369,0.34948730631365554,0.5927660162044077,0.30467150429920276,0.5893376203493118,0.30467150429920276,0.5444311718836454
23,Autos,Automobiles and Trucks,8566000000000.0,4,-0.4654858,-0.4940549385395114,-0.4654858,-0.500757773184716,-0.5951704999999999,-0.5661084318789829,-0.5951705,-0.5693136092342738,-0.1214320889181699,-0.4842493890847975,-0.12143208891816991,-0.49053326498355265,-0.16755293301648455,-0.540927332276626,-0.16755293301648452,-0.5468570687312087
24,Aero,Aircraft,2141500000000.0,1,0.5189539,0.5392603281004923,0.5189539,0.4936564760207519,0.2732446,0.35956199487380264,0.2732446,0.3177913555666639,0.37756738531598655,0.7012910857689829,0.37756738531598655,0.6573612095791709,0.27542422354639723,0.5193345163540645,0.27542422354639723,0.47684209551790707
28,Mines,Non-Metallic and Industrial Metal Mining,136400000000.0,2,-0.9651531,-1.0185297736470256,-0.9651531,-1.005487806910523,-1.1659950000000001,-1.1745678639132089,-1.165995,-1.1524232856781915,-0.39679119167043947,-1.1384572155224053,-0.39679119167043947,-1.1239671840372567,-0.49183259932548606,-1.3170878032631677,-0.49183259932548606,-1.296251971979191
29,Coal,Coal,68200000000.0,1,-1.146242,-1.208609394561384,-1.146242,-1.188411537569642,-1.38403,-1.4069780920368833,-1.38403,-1.3751507935259624,-0.33033309408167805,-0.9805637333816059,-0.33033309408167805,-0.9710874978829347,-0.4223043822575193,-1.1506726397083087,-0.4223043822575193,-1.1355755654202784
30,Oil,Petroleum and Natural Gas,415700000000.0,3,-0.16945633333333335,-0.18332816951347075,0.19098232042338226,0.16236181971482105,-0.36315226666666667,-0.31879304426758137,-0.025505987779648784,0.012611114393376225,0.029083443075907253,-0.12664930233722463,0.1365895403339105,0.10301766608847267,-0.060728144156393736,-0.2852431588641643,0.0386729125786834,-0.07027893675619674
31,Util,Utilities,827700000000.0,3,0.1549535333333333,0.15718803262193143,0.25887762068382264,0.2309450493763896,-0.034694233333333345,0.0313204992279743,0.1021795531835206,0.1430446793114909,0.07363483896182323,-0.020802531426193815,0.09390314811508788,0.004822224415500846,-0.01657285801825697,-0.17955787777452348,0.020567096807903112,-0.11212061684735775
32,Telcm,Communication,5250400000000.0,2,1.2639185,1.3212110095758165,1.2639185,1.246169213361243,1.168876,1.3142431148257643,1.168876,1.2326983644056564,0.6483319896662352,1.34458314155251,0.6483319896662351,1.2802259805648102,0.6207458644004555,1.3458587645680553,0.6207458644004554,1.2748640022959639
33,PerSv,Personal Services,11927100000000.0,30,0.4322660666666666,0.44826860802329754,0.567026611930813,0.5422162707364163,0.5752481500000001,0.6814768890406087,0.678489548491251,0.7317579088510194,0.26420161737522296,0.4319527130924838,0.3507594993719914,0.5956925591320972,0.34093786517406727,0.6761408296223237,0.4205620168782715,0.8122486408297072
34,BusSv,Business Services,25328800000000.0,20,0.6563167449999999,0.6834429781984155,1.2346455905633114,1.216599704675699,0.6283836049999998,0.7381156085948324,1.1399108554155744,1.203109837482275,0.31565156741126826,0.5541893112182644,0.5424225032689685,1.036592629195486,0.3114280215113021,0.6055092836585205,0.5121017921566594,1.023792712707227
35,Hardw,Computers,577600000000.0,2,0.8725538,0.9104157934401964,0.8725538,0.8508391242597741,0.7597183,0.8781093088058226,0.7597183,0.8147348501179238,0.43130629522215824,0.8289658751383829,0.43130629522215824,0.7809817762040006,0.4106669531674506,0.8430367759344041,0.4106669531674506,0.7893816186799517
36,Softw,Computer Software,352100000000.0,1,1.966309,2.0584738676187273,1.966309,1.9556764810045058,1.8772,2.069267502770239,1.8772,1.9562667789664572,0.5027269238150861,0.9986495127140864,0.5027269238150861,0.9452772297361771,0.4919792236284857,1.0376569655268162,0.4919792236284857,0.9772904128038393
37,Chips,Electronic Equipment,577600000000.0,2,0.93227725,0.9731043996203523,0.93227725,0.9111677047626838,0.72060105,0.8364130261169387,0.72060105,0.7747757260949083,0.5023310568137163,0.9977089979900915,0.5023310568137163,0.9443665803928455,0.42875117640852745,0.8863212019608111,0.4287511764085274,0.8311733994607668
38,LabEq,Measuring and Control Equipment,288800000000.0,1,1.113945,1.1637916093409066,1.113945,1.0946761504512281,0.877932,1.0041169359498299,0.877932,0.9354927229111176,0.5517431350750559,1.1151039487871177,0.5517431350750559,1.058033737457297,0.47298606185550934,0.9921970032817901,0.47298606185550934,0.9333981182568538
39,Paper,Business Supplies,129199999999.99998,2,-0.88722335,-0.9367309591534219,-0.8872233500000001,-0.9267684563631815,-0.969947,-0.965594256908874,-0.969947,-0.9521559778673371,-0.35549925845527874,-1.040354390491049,-0.35549925845527874,-1.0289795449131038,-0.39603679040192663,-1.0878013943466223,-0.39603679040192663,-1.0748724085395691
41,Trans,Transportation,10532800000000.0,24,-0.24528268749999996,-0.26291915855431136,-0.5033322761098663,-0.538987717716479,-0.3364300208333333,-0.2903089786354493,-0.5500831053015343,-0.5232558521927985,-0.1326201064979028,-0.5108302741538765,-0.13995377909861867,-0.5331404157232007,-0.1976796898561675,-0.6130354543927498,-0.1868656362216708,-0.5914878083475391
42,Whlsl,Wholesale,21682400000000.0,16,0.13654664375,0.13786727583224165,0.18362991343808804,0.1549349166021831,0.2858666875,0.3730162670561219,0.32619669954848174,0.3718830801418027,0.13885435220612588,0.1341482785321755,0.16811711717370206,0.17554345643382693,0.22529565037038413,0.39935222634793455,0.2488807752099302,0.41550144741504347
43,Rtail,Retail,9759400000000.0,11,-0.015511700000000005,-0.021740476696296737,0.059477136456134595,0.029524197683306556,0.1349823181818182,0.21218396630837322,0.28456016350082997,0.3293504504754311,0.0227648418186404,-0.1416612571022044,0.03792968050988465,-0.12393870120418865,0.10707712094846773,0.11639723715654483,0.1613496038624753,0.213221068784693
44,Meals,"Restaurants, Hotels, Motels",1213900000000.0,3,-0.9875483333333334,-1.0420368879002382,-1.0114488894472362,-1.052252674991877,-0.6365307,-0.610195544118948,-0.6669236728643216,-0.6426110402533332,-0.4046085910629446,-1.1570300675321916,-0.43493030844930386,-1.2117021089735045,-0.24964520287605985,-0.7374144434291564,-0.2804316435820628,-0.8077144063061253
45,Banks,Banking,4568900000000.0,2,1.941846,2.0327963260000637,2.04997644043424,2.040191657467176,1.8473300000000001,2.0374281489323045,1.9759227481669548,2.0571142193641405,0.9031495002903989,1.94998753202822,0.993008183598158,2.073116392192987,0.8837937341775173,1.9754614800945434,0.9826145630363311,2.111125373504787
46,Insur,Insurance,1297600000000.0,3,2.120033,2.219829973075433,2.0914697197903824,2.0821053554194333,2.0386706666666665,2.2413840642180882,2.0320665888563503,2.1144663771266616,1.0526882574342402,2.3052669627840183,1.0115672387208199,2.1158094969524757,1.041933288043449,2.353967083012071,1.0093406012173207,2.1728879780640256
47,RlEst,Real Estate,1012100000000.0,1,0.5814018,0.6048086480632165,0.5814018,0.5567371112216262,0.4659384,0.5649602566942338,0.4659384,0.5146322749223486,0.5834894573318059,1.1905279760787126,0.5834894573318059,1.1310627280431884,0.5133188354669295,1.0887331349447713,0.5133188354669295,1.026605241979042
48,Fin,Trading,6772900000000.0,3,1.8934673333333334,1.9820157501594566,1.8980006186714702,1.8866759848509569,1.808364,1.9958930882811836,1.8528055768282419,1.9313473436536424,0.9257585985843745,2.0037030217461065,0.8841059085093036,1.8225984532038462,0.9032779850444251,2.0220968596785003,0.8823592546996201,1.8794401187793333
49,Other,Almost Nothing,529500000000.0,3,-0.5788289,-0.6130253087900249,-0.3198806752974504,-0.35367734686550684,-0.6826652000000001,-0.6593717299119248,-0.42942466322946177,-0.40000062205310855,-0.21952496774119065,-0.7173018954388376,-0.10028401407268038,-0.441884399571352,-0.26620674575551967,-0.7770543476756858,-0.14575919980741409,-0.49649278664248525
